latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
23.574,93.037,33.0,4.6,mb,,,,0.6,us,usp0004md1,2014-11-07T00:47:53.884Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,1991-01-31 12:09:08,1991-01-31 18:39:08,,,village
26.029,95.292,33.0,5.0,mb,,,,1.0,us,usp0004m9u,2014-11-07T00:47:53.493Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,1991-01-28 22:24:46,1991-01-29 04:54:46,Saigang,Hephu,village
24.733,97.001,33.0,4.8,mb,,,,1.1,us,usp0004m68,2014-11-07T00:47:52.961Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,1991-01-26 17:20:49,1991-01-26 23:50:49,Kachin,Taw Pin Long,village
24.733,95.232,115.2,5.3,mb,,,,1.1,us,usp0004m23,2014-11-07T00:47:52.232Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1991-01-23 06:07:08,1991-01-23 12:37:08,Saigang,Kan Kyaw Ya,village
23.848,96.221,33.0,3.8,mb,,,,0.3,us,usp0004km1,2014-11-07T00:47:49.903Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1991-01-13 06:35:44,1991-01-13 13:05:44,Saigang,Nat Inn,village
23.499,95.72,33.0,4.7,mb,,,,0.9,us,usp0004kg8,2014-11-07T00:47:49.012Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1991-01-10 19:54:22,1991-01-11 02:24:22,Saigang,Zee Hpyu Kone,village
24.012,95.978,31.9,5.2,mb,,,,1.4,us,usp0004k8m,2014-11-07T00:47:46.739Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1991-01-05 16:04:14,1991-01-05 22:34:14,Saigang,Thet Kei Kyin,village
23.8,95.963,33.0,4.3,mb,,,,1.4,us,usp0004k8h,2014-11-07T00:47:46.721Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1991-01-05 15:38:55,1991-01-05 22:08:55,Saigang,Ka Nyoet Inn,village
23.613,95.901,19.7,7.0,mw,,,,1.3,us,usp0004k8g,2015-02-12T22:20:20.343Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1991-01-05 14:57:11,1991-01-05 21:27:11,Saigang,U Tone Pin,village
24.67,95.553,33.0,4.8,mb,,,,0.4,us,usp0004k51,2014-11-07T00:47:44.779Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,1991-01-03 07:05:32,1991-01-03 13:35:32,Saigang,Ah Nauk Taw,village
